Charity Name,Place Name,Latitude,Longitude,Address,Phone Number
citizens advice,Citizens Advice Bury & Bolton,53.5789432,-2.4304029,"Victoria Plaza, 1 Oxford St, Bolton",0808 278 7804
citizens advice,Citizens Advice Sefton (Southport),53.6448948,-3.0061025,"23 Princes St, Southport",0808 278 7841
citizens advice,Citizens Advice Chester,53.1940094,-2.8938978,"Bluecoat Square, Upper Northgate St, Chester",N/A
citizens advice,Citizens Advice Liverpool (Garston),53.3530925,-2.8966107,"2 Speke Rd, Garston, Liverpool",0808 278 7840
citizens advice,Citizens Advice Wrexham,53.0501968,-2.9958427,"35 Grosvenor Rd, Wrexham",0808 278 7931
citizens advice,Citizens Advice St Helens,53.4532557,-2.731624,"Millennium Centre, Corporation St, St Helens, Saint Helens",01744 737866
citizens advice,Citizens Advice Winsford,53.1896646,-2.5261037,"Wyvern House, The Drumber, Winsford",N/A
citizens advice,Citizens Advice Warrington,53.3885399,-2.5988271,"89 Sankey St, Cheshire, Warrington",0808 278 7993
citizens advice,Citizens Advice Halton,53.3622762,-2.7303379,"Unit 3, Victoria Building, Lugsdale Rd, Widnes",0808 278 7956
citizens advice,Citizens Advice Witness Service,53.4801762,-2.2525057,"Crown Square, Manchester",0300 332 1000
citizens advice,Citizens Advice Tameside,53.4900308,-2.0932534,"Tameside One, Market St, Ashton-under-Lyne",0808 278 7805
citizens advice,Citizens Advice Halton,53.3285934,-2.698192,"Unit 1, Shopping City, 2 Orchard Walk, Palacefields, Runcorn",0808 278 7956
citizens advice,Salford Citizens Advice Bureau,53.5249459,-2.3984325,"2 Smith St, Walkden, Worsley, Manchester",0300 330 9074
citizens advice,Citizens Advice Cheshire North,53.2583665,-2.1224002,"Sunderland House, 1 Sunderland St, Macclesfield",0808 812 6186
citizens advice,Citizens Advice High Peak,53.3680812,-2.0019256,"Town Hall, Spring Bank, New Mills, High Peak",0300 456 8390
citizens advice,Citizens Advice - West Lancashire,53.5500032,-2.7717475,"Unit 137, The Concourse Shopping Centre, Skelmersdale",0808 278 7880
citizens advice,Cheetham Hill Advice Centre,53.5058956,-2.2435851,"1 Morrowfield Ave, Cheetham Hill, Manchester",0161 740 8999
citizens advice,Citizens Advice Liverpool (Wavertree),53.3994188,-2.9249724,"242 Picton Rd, Liverpool",0808 278 7840
citizens advice,Citizens Advice Bureau,53.1074878,-2.0245298,"Leek Library, Nicholson Institute, Stockwell St, Leek",01538 373068
citizens advice,Citizens Advice Knowsley,53.4816193,-2.8886029,"142 Cherryfield Dr, Liverpool",0808 278 7839
step change,StepChange Debt Charity,53.1906447,-2.8935057,"2, Merchants House, Crook St, Chester",0800 138 1111
mind,Manchester Mind,53.4665818,-2.2529019,"Zion Community Resource Centre, 339 Stretford Rd, Hulme, Manchester",0161 769 5732
mind,Mind,53.416771,-2.2314144,"715 Wilmslow Rd, Didsbury, Manchester",0161 448 9856
mind,Mind In Salford,53.4834441,-2.2632023,"The Angel Healthy Living Centre, 1 St Philip's Pl, Salford",0161 710 1070
mind,Mind,53.3717462,-2.5817818,"28A London Rd, Stockton Heath, Warrington",01925 555763
mind,Mid-cheshire Mind,53.1915936,-2.5284434,"1a Dene Dr, Winsford",01606 863305
mind,Stockport and District Mind,53.4037141,-2.1572021,"65 Union St, Stockport",0161 480 7393
mind,Mind Charity Shop,53.4064095,-2.9838662,"28 Richmond St, Liverpool",0151 345 6975
mind,North Staffs Mind,53.0257235,-2.1791395,"83 Marsh St, Hanley, Stoke-on-Trent",01782 262100
mind,Mind,53.4865334,-2.6369015,"The Gerard Centre, Gerard St, Ashton-in-Makerfield, Wigan",01942 568167
mind,Mind,53.0177219,-1.7314924,"44 St John St, Market Place, Ashbourne",01335 348328
mind,Mind,53.3702431,-2.2339752,"246 Finney Ln, Heald Green, Cheadle",0161 465 0172
mind,Wirral Mind,53.3915454,-3.0140226,"90 - 92 Chester St, Birkenhead",0151 512 2200
mind,Mind,53.6952634,-2.6940657,"45 Hough Ln, Leyland",01772 301826
mind,Mind,53.1056418,-2.022752,"38 Derby St, Leek",01538 371304
mind,"Tameside, Oldham and Glossop Mind - Oldham Office",53.5398078,-2.115666,"19-25 Union St, Oldham",0161 330 9223
mind,Rochdale and District Mind,53.6166533,-2.1559998,"3-11 Drake St, Rochdale",01706 752338
mind,mind shop chadderton,53.5455782,-2.1409262,"Chadderton Precinct, unit 6 Middleton Rd, Chadderton, Oldham",0161 637 7706
mind,Mind Charity Shop,53.1992905,-2.8762164,"34 Faulkner St, Chester",01244 638488
mind,The Mind Map,53.395309,-2.9800808,"Unit N, 49 Jamaica St, Liverpool",N/A
mind,Mind Charity Shop,53.5158142,-2.94349,"23 Westway, Maghull, Liverpool",0151 345 0600
gamble aware,Gamcare,53.4905324,-2.2882915,"79 Pendleton Wy., Salford",0808 802 0133
alzheimer's Society,Alzheimer's Society,53.0383312,-2.1372469,"103 Abbots Rd, Stoke-on-Trent",0843 837 0921
alzheimer's Society,Alzheimer's Society Trafford,53.4287924,-2.3219759,Sale,0161 962 4769
alzheimer's Society,Alzheimers Society,53.3939048,-2.5943234,"The Terraces Tannery Court, Tanners Ln, Warrington",01925 572239
alzheimer's Society,Bolton Dementia Support,53.5895413,-2.4068427,"Carers Resource Centre, Thicketford Rd, Bolton",07704 594585
alzheimer's Society,Together Dementia Support,53.4604801,-2.2511953,"Kath Locke Centre, 123 Moss Ln E, Hulme, Manchester",0161 226 7186
alzheimer's Society,"The Weekend Day Centre, Ada Kay House",53.4164641,-2.1304331,"2a Annable Rd, Bredbury, Stockport",N/A
alzheimer's Society,Dementia Action Liverpool,53.3885726,-2.9503694,"20, Princes Park Mansions, Croxteth Rd, Liverpool",N/A
